Argument ID	Part	Usage	Conclusion	Stance	Premise
A01001	usa	train	Entrapment should be legalized.	in favor of	If it can be used to more easily capture wanted criminals, then it should be legal.
A01002	usa	train	We should not clone humans.	in favor of	Human cloning will cause huge issues when you have a bunch of the same humans acting the same.
A01003	usa	train	We should not be married.	against	If people want to marry, they should be allowed.
A01004	usa	train	We should not allow naturopathy.	against	It provides a source of income for some people.
A01005	usa	train	We should not serve fast food.	in favor of	Fast food is bad for your health and costs a lot.
A01006	usa	train	We should stop using economic sanctions.	against	Economic sanctions are the only way to get the corrupt governments to act.
A01007	usa	train	Capital punishment should be abolished.	against	Capital punishment is the only way to stop criminals from committing more crimes.
A01008	usa	train	We should stop factory farming.	against	Families that survive on a low income need cheap food because of factory farming.
A01009	usa	train	We should fight for the abolition of nuclear weapons.	against	Nuclear weapons help keep the peace.
A01010	usa	train	We should not allow school prayer.	against	If the student wants to pray, it should be allowed.
A01011	usa	train	The three-strikes laws should be abolished.	in favor of	Three strike laws can cause young people to be put away for life without a chance to start over.
A01012	usa	train	Public defenders should be compulsory.	in favor of	The use of public defenders should be mandatory because some people don't have the money to hire a lawyer.
A01013	usa	train	We should not allow naturopathy.	in favor of	It can be dangerous and cause allergic reactions if you use Naturopathy.
A01014	usa	train	We should adopt a regime of austerity.	against	The poor and vulnerable will be negatively impacted by the austerity regime.
A01015	usa	train	We should adopt a regime of austerity.	in favor of	It is unfair to expect future generations to pay off the debts we run up, so we should adopt an austerity regime.
A01016	usa	train	We should use neutral language.	against	The use of words is a way to differentiate between men and women.
A01017	usa	train	Affirmative action should be ended.	in favor of	Affirmative action is no longer necessary as more minorities are able to prove to their employers that they are worthy workers.
A01018	usa	train	We should stop using economic sanctions.	against	Non-military sanctions are provided by economic sanctions.
A01019	usa	train	We should stop factory farming.	in favor of	Factory farming cuts too many health and safety corners as compared to smaller family farms, this leads to potentially unsafe and unhealthy products.
A01020	usa	train	We should support journalism.	in favor of	It is important for news organizations to get into new media, but it is expensive and requires subsidies.
A02001	usa	train	There should be a ban on the use of payday loans.	in favor of	The payback rates on payday loans make a society more impoverished.
A02002	usa	train	It should be banned.	against	The woman's right to choose if she wants to have another couple have a bearing on whether or not srogacy should be banned.
A02003	usa	train	We should stop the pride parades.	against	Gays are not given a parade because of discrimination.
A02004	usa	train	We should not allow cosmetic surgery for children.	in favor of	Children have not grown into their adult looks and should not be allowed to have surgery to make their bodies look better.
A02005	usa	train	Prostitution should be legalized.	in favor of	Prostitution should be legalized because it will be regulated and the females will be safer.
A02006	usa	train	We should support stem cell research.	in favor of	Stem cell research should be subsidized because it may lead to the development of treatments for a number of serious medical conditions.
A02007	usa	train	We should stop algorithmic trading.	in favor of	The situation in the real market may not be reflected in the algorithms.
A02008	usa	train	We should allow organ trade.	in favor of	Currently people are punished for obeying the law and not purchasing organs, in the form of longer wait times, so we should legalized the organ trade.
A02009	usa	train	Entrapment should be legalized.	against	It is immoral to force someone into a crime.
A02010	usa	train	We should allow the use of cannabis.	against	If you start tolegalize drugs it could lead to more legalization of dangerous drugs.
A02011	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons are a serious threat to our world.
A02012	usa	train	We should stop telemarketers.	in favor of	Telemarketing doesn't differentiate between people who are interested in being called and those who aren't.
A02013	usa	train	We should not allow school prayer.	in favor of	School prayer can't account for the many beliefs students hold.
A02014	usa	train	We should stop allowing the right to keep and bear arms.	against	Everyone has a right to keep guns as a means of protection as stated in the constitution, so we should not abolish the right to keep and bear arms.
A02015	usa	train	The Church of Scientologists should be banned.	in favor of	They are a cult and manipulate their members.
A02016	usa	train	We should allow organ trade.	in favor of	We need more organs than people donate, so it would be a good thing if it were legalized.
A02017	usa	train	We should allow polygamy.	against	Polygamy can cause disharmony and jealousy in a household and the offspring of the arrangement can grow up confused and maladjusted.
A02018	usa	train	Intelligence tests can bring harm.	against	Intelligence tests provide valuable data.
A02019	usa	train	We should not allow school prayer.	in favor of	School prayer is divisive and requires children to either support religion without question or be treated differently if they do not attend, which marks people out by their differences at an early age.
A02020	usa	train	We should support the encyclopedia.	against	The general public should not be subsidized because of the biased opinions on topics on the website.
A03001	usa	train	We should have compulsory voting.	in favor of	In countries like Australia, where compulsory voting is the norm, participation rates are the highest in the world.
A03002	usa	train	Prostitution should be legalized.	against	Prostitution will result in violence and demeans a woman or man.
A03003	usa	train	The Church of Scientologists should be banned.	in favor of	There are questions of legitimacy and whether it is a cult, as well as the fact that members have to pay more to move up the levels, which leads to financial troubles.
A03004	usa	train	The three-strikes laws should be abolished.	against	The law keeps communities safe by not allowing criminals to run rampant with only slaps on the wrist.
A03005	usa	train	Social media can bring harm.	in favor of	It makes people believe that everyone else has everything they want and that their lives are perfect, which leads to mental health issues.
A03006	usa	train	We should allow the use of cannabis.	in favor of	There is no reason to keep cannabis, it is safer than alcohol.
A03007	usa	train	We should use neutral language.	against	We should not have to change our language to accommodate people who don't like a particular gender.
A03008	usa	train	We should stop zoos.	in favor of	Animals should not be kept in captivity and should be in a natural environment.
A03009	usa	train	We should not serve fast food.	in favor of	Fast food is bad for people of all ages and can cause diseases.
A03010	usa	train	We should have a multi-party system.	in favor of	It would give people more of a choice and allow them to vote for someone from their culture.
A03011	usa	train	We should not serve fast food.	in favor of	We should ban fast food because it is bad for our health.
A03012	usa	train	We should stop the development of cars.	in favor of	The jobs of thousands of people around the world will be lost when the function of drivers is removed.
A03013	usa	train	We should support journalism.	in favor of	Free expression of information and exchange of ideas is a basic human right and subsidizing it would improve its quality and reach.
A03014	usa	train	Entrapment should be legalized.	in favor of	Anyone who commits a crime should be prosecuted.
A03015	usa	train	We should stop the pride parades.	in favor of	Pride parades can cause a lot of trouble.
A03016	usa	train	The Olympics should be abolished.	against	The Olympics are a reminder of a peaceful world and should not be banned.
A03017	usa	train	We should stop factory farming.	in favor of	Animals are kept in tight spaces and not allowed to roam.
A03018	usa	train	It should be banned.	in favor of	A woman giving birth to someone else's child can cause that child to grow up and not understand who their mother is, which can lead to major depression.
A03019	usa	train	Capital punishment should be abolished.	in favor of	Capital punishment has been shown to be useless in reducing crime.
A03020	usa	train	We should close the camp.	in favor of	The camp is a depravation from their human right.
A04001	usa	train	We should stop allowing the right to keep and bear arms.	against	The law that made the right to bear arms an American right was set forth by our founding fathers.
A04002	usa	train	We should support space exploration.	against	Spending public funds on health care, housing and education is more important than ever.
A04003	usa	train	We should stop using school uniforms.	in favor of	Children are not able to express themselves through their clothing choices if they are not wearing uniforms.
A04004	usa	train	We should not clone humans.	in favor of	Human cloning is against the laws of nature and should not be done.
A04005	usa	train	Intelligence tests can bring harm.	in favor of	Intelligence tests can't measure a true value if they only test with one method, because some people are highly intelligent but don't do well on testing.
A04006	usa	train	We should stop the pride parades.	in favor of	Heterosexuals don't have a pride parade.
A04007	usa	train	We should not allow school prayer.	against	Allowing children to pray and take some quiet time in school can help them with their mental health.
A04008	usa	train	We should have a multi-party system.	in favor of	The current two party system does not fit the diverse society that it is supposed to represent and we should adopt a multi-party system.
A04009	usa	train	Intellectual property rights should be abolished.	in favor of	Large corporations have a stranglehold over creators designs and work and should be abolished.
A04010	usa	train	We should support journalism.	against	Journalists make good money, more money to them will be a waste, as many sectors need to subsidize more than journalism.
A04011	usa	train	We should allow the use of cannabis.	against	Studies show that one-in10 users develop dependence on cannabis.
A04012	usa	train	Foster care can bring harm.	in favor of	It can be difficult for people who have gone to foster homes to be returned to their birth parents.
A04013	usa	train	We should use neutral language.	against	We should not use gender neutral language because they were created as male and female.
A04014	usa	train	We should stop whaling.	in favor of	The practice of whaling is a terrible one.
A04015	usa	train	We should stop profiling people.	against	If a high crime area is a good place to live, racial profiling is a powerful tool.
A04016	usa	train	Executive compensation should be limited.	against	Executives deserve the money because they do a demanding job leading large organizations that hire many people.
A04017	usa	train	We should not tolerate any kind of behavior in schools.	against	Zero telerance policied do not address underlying causes for the behavior that is causing the issue.
A04018	usa	train	We should stop using school uniforms.	in favor of	Many parents can't afford the extra cost of school uniforms.
A04019	usa	train	Social media can bring harm.	in favor of	The fomo culture is not healthy for individuals.
A04020	usa	train	We should fight for the abolition of nuclear weapons.	in favor of	Nuclear weapons have the potential to cause a lot of destruction.
A05001	usa	train	Intellectual property rights should be abolished.	in favor of	It's not fair for one person to profit from the ideas.
A05002	usa	train	There should be a ban on the use of payday loans.	in favor of	People who can't live by paycheck to paycheck should not be allowed to take out a high interest loan like the one that comes with the payday loans.
A05003	usa	train	We should stop using economic sanctions.	in favor of	Economic sanctions affect poor people more than governments.
A05004	usa	train	Foster care can bring harm.	in favor of	Foster care can be bad for a child when they are moving from place to place.
A05005	usa	train	We should stop factory farming.	in favor of	Factory farming is bad for the environment.
A05006	usa	train	We should allow organ trade.	in favor of	If we legalized the organ trade, we will save lives by making sure that more people who need an organ transplant actually get one.
A05007	usa	train	Social media can bring harm.	in favor of	Social media can cause depression and suicide due to popularity contests.
A05008	usa	train	We should allow polygamy.	in favor of	Polygamy is a part of some religions and should be respected.
A05009	usa	train	We should not allow naturopathy.	in favor of	There may be no scientific evidence for naturopathy.
A05010	usa	train	Public defenders should be compulsory.	against	A person accused of a crime should have the right to pick their own defense, whether that is to pick the defender they think will be most capable or that they find more comfortable.
A05011	usa	train	We should subsidize stay-at- home dads.	against	If a father wants to stay home, he can, but we can't subsidize stay-at- home dads, which is why we don't have other solutions like kindergartens to help with children's needs.
A05012	usa	train	We should support stem cell research.	in favor of	The fast replication rate makes embryonic stem cell research subsidized.
A05013	usa	train	Private military companies should be banned.	in favor of	Private military companies have motives that are not in the best interest of our country and that could be a danger to our national security.
A05014	usa	train	libertarianism should be adopted by us.	in favor of	libertarianism makes a more efficient society possible.
A05015	usa	train	We should stop using safe spaces.	in favor of	Students need to know how to handle conflict in order to graduate from school.
A05016	usa	train	We should stop the development of cars.	against	The use of self-drive cars should result in a reduction in road traffic accidents which are mostly caused by human error.
A05017	usa	train	We should not do cosmetic surgery.	in favor of	It is not necessary to have cosmetic surgery.
